id,Distance,Start_coordinates,End_coordinates
17799951.0,1893.6,"[51.740907, 4.488044]","[51.742789, 4.460803]"
18752789.0,1460.8,"[51.742456, 4.464883]","[51.729416, 4.463526]"
9242710.0,840.0,"[51.74292, 4.46067]","[51.750244, 4.463122]"
15222823.0,1148.6,"[51.740198, 4.488732]","[51.729888, 4.488201]"
7792359.0,1221.8,"[51.729661, 4.488285]","[51.740654, 4.488799]"
9242686.0,1436.4,"[51.729614, 4.463537]","[51.742344, 4.464981]"
9899361.0,1321.3,"[51.733481, 4.512838]","[51.742953, 4.52226]"
7514049.0,938.8,"[51.732617, 4.527825]","[51.733215, 4.514247]"
5497810.0,1620.3,"[51.749623, 4.517653]","[51.750045, 4.541144]"
7514015.0,389.9,"[51.733295, 4.512512]","[51.734085, 4.507002]"
9024424.0,2535.9,"[51.732689, 4.527825]","[51.752088, 4.511127]"
9024438.0,1038.2,"[51.753279, 4.510385]","[51.750149, 4.520446]"
9899369.0,1321.3,"[51.733481, 4.512838]","[51.742953, 4.52226]"
6722349.0,718.4,"[51.749266, 4.534883]","[51.742816, 4.53525]"
18248181.0,453.2,"[51.737629, 4.576542]","[51.734408, 4.572528]"
9247577.0,1372.4,"[51.732528, 4.569021]","[51.740281, 4.583458]"
13752544.0,564.1,"[51.745417, 4.550702]","[51.740799, 4.548411]"
17849042.0,1690.6,"[51.752337, 4.565684]","[51.741157, 4.58226]"
17846269.0,677.1,"[51.745642, 4.575634]","[51.741157, 4.58226]"
6890716.0,434.3,"[51.754461, 4.552526]","[51.750716, 4.553002]"
10994636.0,1002.6,"[51.738213, 4.565489]","[51.745421, 4.574207]"
5789940.0,2210.3,"[51.74041, 4.583382]","[51.754174, 4.56073]"
7334717.0,1417.2,"[51.73935, 4.587637]","[51.733117, 4.572015]"
6845441.0,424.5,"[51.73583, 4.555248]","[51.73595, 4.561361]"
11070994.0,564.9,"[51.741852, 4.61773]","[51.745747, 4.62272]"
11335254.0,466.5,"[51.745171, 4.622019]","[51.748582, 4.625937]"
15605066.0,1125.9,"[51.746596, 4.614425]","[51.754087, 4.603555]"
3378927.0,734.1,"[51.73917361535132, 4.613682394847274]","[51.74408733844757, 4.620769713073969]"
4615932.0,199.4,"[51.739028, 4.613475]","[51.740332, 4.615456]"
7140665.0,325.2,"[51.74716, 4.62432]","[51.744756, 4.621525]"
12112256.0,9951.3,"[51.72972, 4.631111]","[51.730522, 4.632682]"
3371438.0,1341.2,"[51.73755056, 4.61126704]","[51.74672773, 4.62380931]"
14060755.0,2524.8,"[51.74697, 4.614137]","[51.753579, 4.619892]"
14061765.0,2526.2,"[51.753682, 4.61967]","[51.746788, 4.614105]"
2531203.0,3547.2,"[51.73336338184052, 4.636411839182093]","[51.754951496747935, 4.663735773108982]"
13860511.0,358.5,"[51.733771, 4.63559]","[51.736714, 4.633993]"
3386794.0,841.7,"[51.74131483469577, 4.637644336980167]","[51.733882586816776, 4.636148118002446]"
3514514.0,2756.2,"[51.753189253091605, 4.655632922706111]","[51.73366121280381, 4.636283946736583]"
19535824.0,9564.9,"[51.754307, 4.662607]","[51.755679, 4.663435]"
2285813.0,769.0,"[51.753383, 4.65645]","[51.748766, 4.649133]"
21240291.0,9299.5,"[51.754275, 4.662585]","[51.755342, 4.663648]"
2730527.0,2780.1,"[51.73793159501112, 4.636192471241509]","[51.75508391062994, 4.661587564373716]"
14488368.0,820.8,"[51.755791, 4.686715]","[51.749582, 4.692959]"
18899712.0,756.6,"[51.749449, 4.693034]","[51.755239, 4.687333]"
22208915.0,1462.0,"[51.731147, 4.703321]","[51.739836, 4.718914]"
12016366.0,565.0,"[51.750555, 4.695338]","[51.753633, 4.701065]"
3832845.0,3894.3,"[51.75358227454126, 4.714638143777847]","[51.75152267329395, 4.712608130648732]"
12673681.0,4055.7,"[51.751498, 4.713961]","[51.753192, 4.714917]"
8879254.0,3565.8,"[51.750941, 4.702277]","[51.75118, 4.703394]"
15349601.0,25565.0,"[51.751412, 4.712333]","[51.75341, 4.714742]"
14774772.0,1677.8,"[51.753199, 4.701533]","[51.755775, 4.687711]"
10947269.0,1112.9,"[51.75243, 4.72148]","[51.74573, 4.7111]"
13070033.0,5923.2,"[51.755107, 4.724894]","[51.75548, 4.725244]"
13612933.0,639.5,"[51.753593, 4.723644]","[51.755636, 4.727272]"
21435151.0,535.9,"[51.763275, 3.855446]","[51.767485, 3.859133]"
6995539.0,2164.5,"[51.760669, 3.855765]","[51.778737, 3.867358]"
1958031.0,2744.8,"[51.76017336666667, 3.84871475]","[51.78110870000001, 3.867523866666666]"
4659734.0,2479.1,"[51.779992, 3.866919]","[51.7606, 3.850568]"
18369147.0,431.7,"[51.762908, 3.853955]","[51.760341, 3.849363]"
9241853.0,3088.9,"[51.760197, 3.847455]","[51.783746, 3.86902]"
5384237.0,974.4,"[51.758448, 3.841592]","[51.762879, 3.853555]"
2439176.0,2319.7,"[51.78094843402505, 3.868645867332816]","[51.76156897097826, 3.856260599568486]"
8576828.0,40220.4,"[51.763118, 3.849438]","[51.765624, 3.847236]"
10879291.0,47657.4,"[51.764385, 3.849497]","[51.761002, 3.846601]"
16351286.0,1503.3,"[51.769374, 4.035728]","[51.760481, 4.047445]"
15321287.0,718.2,"[51.760576, 4.047343]","[51.763913, 4.040079]"
16095634.0,454.1,"[51.766056, 4.040928]","[51.769166, 4.036663]"
12918744.0,581.2,"[51.77709, 4.039519]","[51.779387, 4.046843]"
15321297.0,634.2,"[51.76382, 4.040057]","[51.767678, 4.045501]"
16095612.0,5492.4,"[51.769296, 4.035873]","[51.769358, 4.03579]"
5840928.0,2264.1,"[51.767092, 4.079923]","[51.779035, 4.057983]"
7560709.0,184.6,"[51.776982, 4.078561]","[51.777374, 4.075958]"
4693065.0,208.7,"[51.76524, 4.074425]","[51.765198, 4.076418]"
21599302.0,13023.2,"[51.774946, 4.093905]","[51.774897, 4.094048]"
21652449.0,39319.4,"[51.774878, 4.094298]","[51.774424, 4.097528]"
7897454.0,1767.0,"[51.782906, 4.112618]","[51.767593, 4.105743]"
19042163.0,723.4,"[51.766496, 4.107672]","[51.772767, 4.110375]"
15544675.0,2336.6,"[51.763582, 4.104853]","[51.783803, 4.113092]"
6628954.0,235.8,"[51.75939, 4.135396]","[51.760982, 4.137577]"
22252532.0,892.5,"[51.772985, 4.109834]","[51.77601, 4.111222]"
22252510.0,1505.4,"[51.762636, 4.106337]","[51.766053, 4.10726]"
13550572.0,4058.2,"[51.760925, 4.171913]","[51.761045, 4.171613]"
7670921.0,1018.8,"[51.760612, 4.157249]","[51.760755, 4.156952]"
14500695.0,917.0,"[51.772835, 4.146463]","[51.765239, 4.151283]"
9484688.0,104.9,"[51.767459, 4.157442]","[51.767682, 4.157232]"
7985855.0,959.1,"[51.761949, 4.170367]","[51.767713, 4.18068]"
11830391.0,1412.4,"[51.769438, 4.183116]","[51.760834, 4.168147]"
12195083.0,160.6,"[51.759506, 4.180537]","[51.759497, 4.180405]"
13040267.0,7822.1,"[51.766738, 4.147745]","[51.766715, 4.147742]"
16095701.0,7816.9,"[51.769049, 4.149151]","[51.769063, 4.149139]"
2841249.0,1067.6,"[51.76686, 4.158492]","[51.766454, 4.155197]"
11830482.0,345.7,"[51.760427, 4.184519]","[51.762579, 4.188128]"
17981795.0,1737.0,"[51.766231, 4.187661]","[51.766219, 4.187647]"
11830376.0,7674.0,"[51.762581, 4.188132]","[51.762579, 4.188128]"
2492592.0,2019.5,"[51.75782863097784, 4.215492099840686]","[51.77066136400348, 4.194910466621098]"
16738819.0,607.7,"[51.763537, 4.304344]","[51.768937, 4.30555]"
11718837.0,1109.8,"[51.770447, 4.305909]","[51.772495, 4.314794]"
14528005.0,2097.2,"[51.768756, 4.302708]","[51.771473, 4.276173]"
19144285.0,1095.4,"[51.772417, 4.314774]","[51.770428, 4.305855]"
1761720.0,1860.4,"[51.76697441534714, 4.278143035495786]","[51.76367978709753, 4.304365042524437]"
2659345.0,1888.3,"[51.76307223333334, 4.30439305]","[51.766797333333336, 4.2783474]"
6994881.0,1177.2,"[51.76847, 4.305507]","[51.758183, 4.303056]"
14741329.0,1837.7,"[51.782662, 4.335098]","[51.781734, 4.360032]"
7884817.0,1446.5,"[51.772471, 4.328589]","[51.781142, 4.335641]"
13780594.0,1966.6,"[51.763351, 4.351265]","[51.780801, 4.353378]"
5095078.0,1428.7,"[51.78121, 4.335671]","[51.772772, 4.328385]"
18147091.0,2076.6,"[51.781366, 4.353341]","[51.76279, 4.351215]"
13322422.0,686.7,"[51.758369, 4.379706]","[51.764311, 4.382418]"
12312541.0,743.9,"[51.764627, 4.382526]","[51.758212, 4.379592]"
6908917.0,1604.1,"[51.764852, 4.385735]","[51.778174, 4.394587]"
9759511.0,1572.2,"[51.778137, 4.39443]","[51.765102, 4.385706]"
13233994.0,1237.9,"[51.771292, 4.3728]","[51.762421, 4.365287]"
13233957.0,1487.7,"[51.781501, 4.437399]","[51.768884, 4.444024]"
15012084.0,329.2,"[51.773206, 4.417959]","[51.77164, 4.421977]"
6944726.0,308.3,"[51.766407, 4.44398]","[51.769115, 4.444055]"
12017026.0,1289.9,"[51.759583, 4.442194]","[51.760632, 4.426673]"
8414735.0,917.3,"[51.784675, 4.450554]","[51.781948, 4.437961]"
20403248.0,1198.3,"[51.768709, 4.443745]","[51.770005, 4.426846]"
13237572.0,407.2,"[51.770754, 4.424405]","[51.772633, 4.419343]"
5938988.0,669.1,"[51.763545, 4.421753]","[51.768893, 4.425508]"
4480539.0,2432.2,"[51.768722, 4.444104]","[51.775936, 4.41214]"
4184414.0,430.3,"[51.765053, 4.416173]","[51.762859, 4.421278]"
20324926.0,797.5,"[51.767834, 4.46049]","[51.774969, 4.459451]"
3106457.0,1843.9,"[51.777777, 4.486977]","[51.775567, 4.461149]"
6358443.0,2624.3,"[51.759299, 4.489065]","[51.78186, 4.486748]"
6089082.0,1765.9,"[51.775542, 4.461038]","[51.777243, 4.486515]"
6464217.0,858.9,"[51.759669, 4.461659]","[51.767327, 4.462906]"
14935694.0,1878.2,"[51.760298, 4.499536]","[51.760869, 4.526781]"
18862905.0,918.6,"[51.761268, 4.527613]","[51.769519, 4.527214]"
6448828.0,948.3,"[51.761862, 4.54848]","[51.769942, 4.546301]"
17565271.0,1043.1,"[51.783137, 4.583717]","[51.773413, 4.584875]"
9898319.0,1415.5,"[51.771058, 4.546791]","[51.782015, 4.55345]"
20508434.0,1870.5,"[51.763928, 4.559368]","[51.761955, 4.585961]"
14935656.0,6978.0,"[51.774845, 4.544793]","[51.782791, 4.552391]"
1538376.0,2842.3,"[51.757474, 4.55251]","[51.782623, 4.557879]"
10461531.0,754.3,"[51.77508, 4.558947]","[51.774512, 4.569841]"
13182144.0,225.8,"[51.768982, 4.558012]","[51.769255, 4.55477]"
13109879.0,6867.2,"[51.783013, 4.551873]","[51.775061, 4.543797]"
20382156.0,1694.0,"[51.762287, 4.584582]","[51.764021, 4.560213]"
1008342.0,693.1,"[51.77249536849558, 4.621582757681608]","[51.77243744954467, 4.63162369094789]"
719832.0,1042.5,"[51.77262771666666, 4.61588005]","[51.77269446666666, 4.630901466666667]"
978399.0,588.0,"[51.780219124630094, 4.618040984496474]","[51.7802342120558, 4.617999326437712]"
9919745.0,653.1,"[51.782024, 4.623713]","[51.776545, 4.623975]"
17940420.0,1115.1,"[51.783606, 4.629162]","[51.773594, 4.629225]"
3667696.0,991.2,"[51.772746, 4.632886]","[51.772802, 4.618509]"
18258875.0,892.6,"[51.772313, 4.600654]","[51.771504, 4.613516]"
15338738.0,1043.6,"[51.782313, 4.598303]","[51.772961, 4.599361]"
14913956.0,923.0,"[51.771522, 4.613373]","[51.772387, 4.600048]"
21652958.0,2525.8,"[51.760833, 4.629013]","[51.783421, 4.629298]"
6921477.0,241.3,"[51.77305, 4.642704]","[51.772849, 4.639224]"
9707302.0,878.5,"[51.776254, 4.662883]","[51.768493, 4.66243]"
5167602.0,1128.2,"[51.762773, 4.643164]","[51.7729, 4.643899]"
